Código Localidad;Barrio;Corregimiento;Municipio;Departamento;País
114253;VILLA CONCORD CUATRO;MALAMBO;MALAMBO;ATLANTICO;COLOMBIA
114254;CASITAS NUEVAS;SAN MARCOS;SAN MARCOS;SUCRE;COLOMBIA
114270;PUEBLITO LIBERAL RURAL;PUEBLITO LIBERAL;CERRO DE SAN ANTONIO;MAGDALENA;COLOMBIA
114271;URB GEORGE DANGOND;VALLEDUPAR;VALLEDUPAR;CESAR;COLOMBIA
114272;MONTE CARMELO 2 ETAPA;SOLEDAD;SOLEDAD;ATLANTICO;COLOMBIA
114309;PALMA DE VINO;CGTO LA FORTUNA;PLANETA RICA;CORDOBA;COLOMBIA
114310;GUAQUIRI RURAL;GUAQUIRI;PEDRAZA;MAGDALENA;COLOMBIA
114311;URB. EL MANANTIAL 3 ETAPA;SOLEDAD;SOLEDAD;ATLANTICO;COLOMBIA
114314;GORETTI;EL CARMEN DE BOLIVAR;EL CARMEN DE BOLIVAR;BOLIVAR;COLOMBIA
114315;EL TIGRE;EL CARMEN DE BOLIVAR;EL CARMEN DE BOLIVAR;BOLIVAR;COLOMBIA
114319;VDA PINTO;CGTO CENTRO ALEGRE;PLANETA RICA;CORDOBA;COLOMBIA
114320;CASERIO LOS CHIVOS;LA ESTACION;PLANETA RICA;CORDOBA;COLOMBIA
114336;PRIMERO DE OCTUBRE;MANAURE;MANAURE-GUAJIRA;LA GUAJIRA;COLOMBIA
114343;ALTOS DE SALINAS;MANAURE;MANAURE-GUAJIRA;LA GUAJIRA;COLOMBIA
114344;NUEVAS FLORES;VDA NUEVAS FLORES;SAN DIEGO;CESAR;COLOMBIA
114355;EL CENTRO;CGTO GARZONES;MONTERIA;CORDOBA;COLOMBIA
114356;FATIMA;CGTO GARZONES;MONTERIA;CORDOBA;COLOMBIA
114366;MORROCOYO;VDA MORROCOYO;PELAYA;CESAR;COLOMBIA
114371;2 DE MARZO;CGTO GARZONES;MONTERIA;CORDOBA;COLOMBIA
114374;LOS ROBLES 9 ETAPA;SOLEDAD;SOLEDAD;ATLANTICO;COLOMBIA
114390;VDA PRIMAVERA;CGTO BETANIA;PUEBLO NUEVO;CORDOBA;COLOMBIA
114391;VDA AGUA DEL OSO;CGTO BETANIA;PUEBLO NUEVO;CORDOBA;COLOMBIA
114393;LAS MORAS 3 ETAPA;SOLEDAD;SOLEDAD;ATLANTICO;COLOMBIA
114394;ALFONSO PAZ;LA APARTADA;LA APARTADA;CORDOBA;COLOMBIA
114395;LOS CUSULES 2 ETAPA;SOLEDAD;SOLEDAD;ATLANTICO;COLOMBIA
114408;IYOSPA;IYOSPA;MANAURE-GUAJIRA;LA GUAJIRA;COLOMBIA
114410;PUEBLO NUEVO;CGTO PUEBLO NUEVO;MAJAGUAL;SUCRE;COLOMBIA
114411;VICTORIA VIEJA (C.HERMOSA);SOLEDAD;SOLEDAD;ATLANTICO;COLOMBIA
114412;SOLUCIONES MINIMAS (V.HERMOSA);SOLEDAD;SOLEDAD;ATLANTICO;COLOMBIA
114433;VDA CALDERON;CGTO EL OBLIGADO;SAN PELAYO;CORDOBA;COLOMBIA
